City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
302,kotagiri,40,IN,1556427600,55,11.42,76.87,89.6,3.36
303,wolsztyn,75,PL,1556429404,100,52.11,16.12,52.0,13.87
304,port macquarie,0,AU,1556429405,49,-31.43,152.91,75.99,12.75
305,souillac,0,FR,1556429230,87,45.6,-0.6,48.99,4.7
306,fenoarivo,20,MG,1556427600,83,-18.93,47.44,69.8,2.24
307,havelock,1,US,1556429402,77,34.88,-76.9,66.99,6.93
308,tandil,1,AR,1556428505,94,-37.33,-59.14,53.01,7.67
309,westport,100,IE,1556429290,96,53.8,-9.52,46.99,7.0
310,jacareacanga,100,BR,1556429419,96,-6.22,-57.76,72.76,1.34
311,shingu,0,JP,1556427600,47,33.72,135.99,59.0,11.41
312,makakilo city,90,US,1556429406,78,21.35,-158.09,73.4,3.36
313,emba,0,CY,1556428584,59,34.81,32.42,66.2,6.93
314,aklavik,75,CA,1556427600,62,68.22,-135.01,24.8,4.7
315,camalu,99,MX,1556429420,94,30.85,-116.07,58.36,15.86
316,vestmannaeyjar,100,IS,1556429420,88,63.44,-20.27,46.12,19.48
317,matara,100,PE,1556429420,94,-13.74,-72.9,37.3,0.49
318,paita,4,PE,1556429421,89,-5.09,-81.11,70.96,13.09
319,bonfim,97,GY,1556429421,64,3.36,-59.84,80.14,12.64
320,waipawa,62,NZ,1556426836,85,-39.94,176.59,55.99,3.02
321,chicama,40,PE,1556427600,88,-7.84,-79.15,68.0,8.05
322,zhaotong,58,CN,1556429422,47,27.34,103.71,74.02,1.45
323,oildale,1,US,1556429140,37,35.42,-119.02,75.99,3.36
324,tikhvin,0,RU,1556429202,53,59.64,33.53,37.99,8.01
325,tromso,0,NO,1556428800,86,69.65,18.96,37.99,6.93
326,grand gaube,40,MU,1556429044,69,-20.01,57.66,82.4,11.41
327,swan hill,56,AU,1556429422,49,-35.34,143.56,64.3,11.61
328,tapes,100,BR,1556429423,88,-30.67,-51.4,66.64,12.01
329,praia,0,BR,1556427600,82,-20.25,-43.81,68.0,5.82
330,xunchang,82,CN,1556429423,59,28.45,104.71,78.52,5.01
331,sarkand,8,KZ,1556429424,31,45.41,79.91,65.92,10.11
332,lokosovo,1,RU,1556429424,81,61.13,74.84,19.48,9.01
333,sao gabriel da cachoeira,98,BR,1556429424,95,-0.13,-67.09,75.1,1.88
334,kuloy,88,RU,1556429424,54,61.03,42.49,32.62,10.38
335,dale,31,CN,1556429424,64,24.09,109.99,86.8,17.67
336,xining,90,CN,1556429425,46,36.62,101.77,50.26,3.58
337,alamos,0,AR,1556429425,92,-36.9,-62.36,54.76,6.13
338,kalinovskaya,0,RU,1556427600,51,43.57,45.52,62.6,6.71
339,mount gambier,75,AU,1556427600,72,-37.83,140.78,59.0,12.75
340,parrita,0,CR,1556429161,68,9.52,-84.33,71.6,11.41
341,hambantota,75,LK,1556428200,100,6.12,81.12,84.2,5.82
342,sao jose dos campos,20,BR,1556427600,94,-23.18,-45.89,68.0,1.12
343,karpathos,40,GR,1556427000,82,35.51,27.21,64.4,13.87
344,kudat,75,MY,1556427600,66,6.89,116.84,89.6,5.82
345,lashio,48,MM,1556429175,25,22.93,97.75,94.18,2.59
346,palana,19,RU,1556429427,84,59.08,159.95,31.72,1.86
347,aberdeen,1,US,1556429107,80,45.47,-98.49,43.0,8.05
348,hobyo,62,SO,1556429427,57,5.35,48.53,85.72,10.16
349,manyana,0,AU,1556429290,31,-35.26,150.51,73.4,8.05
350,rafai,91,CF,1556429428,65,4.95,23.92,78.88,2.68
351,ahuimanu,90,US,1556429406,78,21.44,-157.84,73.4,5.82
352,dolores,3,AR,1556429417,94,-36.31,-57.68,54.76,3.67
353,udachnyy,40,RU,1556427600,44,66.42,112.4,21.2,11.18
354,krasnoufimsk,100,RU,1556429429,91,56.6,57.77,36.76,10.85
355,shimoda,75,JP,1556429215,26,34.7,138.93,62.6,5.82
356,ati,74,TD,1556429430,8,13.21,18.34,88.06,19.53
357,usuki,75,JP,1556429296,54,33.11,131.8,62.01,6.93
358,salalah,0,OM,1556427000,40,17.01,54.1,87.8,4.7
359,plouzane,90,FR,1556429287,87,48.38,-4.62,50.0,5.82
360,portland,1,US,1556429170,57,45.52,-122.67,48.99,10.29
361,omsukchan,85,RU,1556429431,82,62.53,155.8,23.98,7.96
362,mount hagen,69,PG,1556429431,92,-5.86,144.23,60.7,2.68
363,bay roberts,90,CA,1556429403,100,47.58,-53.28,33.01,11.41
364,cairns,75,AU,1556429156,88,-16.92,145.77,79.0,16.11
365,cabo san lucas,75,MX,1556429119,23,22.89,-109.91,75.99,4.7
366,kanniyakumari,99,IN,1556429432,78,8.08,77.57,86.98,15.7
